MAIN_ACT,net,year
Production of adipic acid,-925022,2014
Production of ammonia,2686873,2014
Production of bulk chemicals,-7258904,2014
Production of carbon black,62247,2014
production of cement clinker ,-9955992,2014
Production of coke,396449,2014
Production of glyoxal and glyoxylic acid,3425,2014
Production of gypsum or plasterboard,-55364,2014
Production of hydrogen and synthesis gas,252060,2014
Production of metals,-282243,2014
Production of nitric acid,-391750,2014
production of pig iron or steel ,-34546862,2014
Production of quicklime,1997429,2014
Production of sodium carbonates,-2214479,2014
Refining of mineral oil,26702437,2014
 manufacture of ceramic,-1582741,2013
 production of pulp or other fibrous materials ,-5272954,2013
Aviation,21072557,2013
Capture of greenhouse gases ,4550,2013
Combustion installations ,42650837,2013
Combustion of fuels,1056324447,2013
manufacture of glass,1768768,2013
Manufacture of mineral wool,216823,2013
Metal ore roasting or sintering,511698,2013
Other activity,382208,2013
Prodcution of aluminium,571836,2013
Production of adipic acid,-946048,2013
Production of ammonia,1729073,2013
Production of bulk chemicals,-7765489,2013
Production of carbon black,-69049,2013
production of cement clinker ,-27968024,2013
Production of coke,417986,2013
Production of glyoxal and glyoxylic acid,2008,2013
Production of gypsum or plasterboard,170819,2013
Production of hydrogen and synthesis gas,373222,2013
Production of metals,-1293300,2013
Production of nitric acid,-167151,2013
production of pig iron or steel ,-39641411,2013
Production of quicklime,843426,2013
Production of sodium carbonates,-2491007,2013
Refining of mineral oil,26965304,2013
 manufacture of ceramic,-8117790,2012
 production of pulp or other fibrous materials ,-12177870,2012
Aviation,-87551581,2012
Capture of greenhouse gases ,-1285,2012
Combustion installations ,-8430380,2012
Combustion of fuels,64223673,2012
manufacture of glass,-4939624,2012
Manufacture of mineral wool,-607772,2012
Metal ore roasting or sintering,-283264,2012
Other activity,-2919675,2012
Prodcution of aluminium,-198082,2012
Production of adipic acid,0,2012
Production of ammonia,-1012805,2012
Production of bulk chemicals,-7169200,2012
Production of carbon black,-342601,2012
production of cement clinker ,-62983898,2012
Production of coke,-3000859,2012
Production of glyoxal and glyoxylic acid,0,2012
Production of gypsum or plasterboard,-114250,2012
Production of hydrogen and synthesis gas,-134380,2012
Production of metals,-9591136,2012
Production of nitric acid,-181469,2012
production of pig iron or steel ,-71934984,2012
Production of quicklime,-10565597,2012
Production of sodium carbonates,24511,2012
Refining of mineral oil,-18480600,2012
 manufacture of ceramic,-6996203,2011
 production of pulp or other fibrous materials ,-10222107,2011
Aviation,0,2011
Capture of greenhouse gases ,-2114,2011
Combustion installations ,-1097538,2011
Combustion of fuels,96998754,2011
manufacture of glass,-4038608,2011
Manufacture of mineral wool,-572704,2011
Metal ore roasting or sintering,-164817,2011
Other activity,-917564,2011
Prodcution of aluminium,-202105,2011
Production of adipic acid,0,2011
Production of ammonia,-810996,2011
Production of bulk chemicals,-5651107,2011
Production of carbon black,-231587,2011
production of cement clinker ,-53339185,2011
Production of coke,-1830025,2011
Production of glyoxal and glyoxylic acid,0,2011
Production of gypsum or plasterboard,-97457,2011
Production of hydrogen and synthesis gas,-101225,2011
Production of metals,-9517312,2011
Production of nitric acid,-115505,2011
production of pig iron or steel ,-68631177,2011
Production of quicklime,-7749657,2011
Production of sodium carbonates,-4729,2011
Refining of mineral oil,-11960265,2011
 manufacture of ceramic,-7500014,2010
 production of pulp or other fibrous materials ,-8942941,2010
Aviation,0,2010
Capture of greenhouse gases ,-529,2010
Combustion installations ,11953492,2010
Combustion of fuels,130383067,2010
manufacture of glass,-3966388,2010
Manufacture of mineral wool,-506107,2010
Metal ore roasting or sintering,-354467,2010
Other activity,-680270,2010
Prodcution of aluminium,-210791,2010
Production of adipic acid,0,2010
Production of ammonia,-1051660,2010
Production of bulk chemicals,-4744854,2010
Production of carbon black,-205859,2010
production of cement clinker ,-51401802,2010
Production of coke,-2099156,2010
Production of glyoxal and glyoxylic acid,0,2010
Production of gypsum or plasterboard,-110253,2010
Production of hydrogen and synthesis gas,10046,2010
Production of metals,-8251513,2010
Production of nitric acid,-241722,2010
production of pig iron or steel ,-67159946,2010
Production of quicklime,-9057011,2010
Production of sodium carbonates,-58818,2010
Refining of mineral oil,-12492993,2010
 manufacture of ceramic,-6941480,2009
 production of pulp or other fibrous materials ,-9662903,2009
Aviation,0,2009
Capture of greenhouse gases ,-1791,2009
Combustion installations ,6319044,2009
Combustion of fuels,125829553,2009
manufacture of glass,-4464720,2009
Manufacture of mineral wool,-540449,2009
Metal ore roasting or sintering,-993859,2009
Other activity,-1814192,2009
Prodcution of aluminium,-239742,2009
Production of adipic acid,0,2009
Production of ammonia,-1818005,2009
Production of bulk chemicals,-5558860,2009
Production of carbon black,-473470,2009
production of cement clinker ,-48256254,2009
Production of coke,-3794011,2009
Production of glyoxal and glyoxylic acid,0,2009
Production of gypsum or plasterboard,-129741,2009
Production of hydrogen and synthesis gas,-36696,2009
Production of metals,-4753764,2009
Production of nitric acid,-153559,2009
production of pig iron or steel ,-87368914,2009
Production of quicklime,-11165773,2009
Production of sodium carbonates,-170395,2009
Refining of mineral oil,-6259794,2009
 manufacture of ceramic,-3469581,2008
 production of pulp or other fibrous materials ,-5959706,2008
Aviation,0,2008
Capture of greenhouse gases ,-2399,2008
Combustion installations ,16434333,2008
Combustion of fuels,243033964,2008
manufacture of glass,-1848385,2008
Manufacture of mineral wool,-242076,2008
Metal ore roasting or sintering,-107028,2008
Other activity,-92255,2008
Prodcution of aluminium,-120459,2008
Production of adipic acid,0,2008
Production of ammonia,-111283,2008
Production of bulk chemicals,-3304161,2008
Production of carbon black,-258375,2008
production of cement clinker ,-15258135,2008
Production of coke,-543971,2008
Production of glyoxal and glyoxylic acid,0,2008
Production of gypsum or plasterboard,-78760,2008
Production of hydrogen and synthesis gas,-14982,2008
Production of metals,-2332298,2008
Production of nitric acid,-51434,2008
production of pig iron or steel ,-50887024,2008
Production of quicklime,-3949191,2008
Production of sodium carbonates,65844,2008
Refining of mineral oil,2832269,2008
